Shipping Service,Order Quantity,Province,Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Country,Product ID,Category,Sub-Category,Product Name,Sales,Discount,Profit
Second Class,0,Son La,CA-2016-152156,11/8/2016,11/11/2016,CG-12520,Claire Gute,Consumer,Vietnam,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,0,41.9136
Second Class,0,Son La,CA-2016-152156,11/8/2016,11/11/2016,CG-12520,Claire Gute,Consumer,Vietnam,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,0,219.582
Second Class,2,Ha Noi,CA-2016-138688,6/12/2016,6/16/2016,DV-13045,Darrin Van Huff,Corporate,Vietnam,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,0,6.8714
Standard Class,7,HN,CA-2014-115812,6/9/2014,6/14/2014,BH-11710,Brosina Hoffman,Consumer,Vietnam,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,0,14.1694
Standard Class,4,Ha Noi,CA-2014-115812,6/9/2014,6/14/2014,BH-11710,Brosina Hoffman,Consumer,Vietnam,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,0,1.9656
Standard Class,6,Ha Noi,CA-2014-115812,6/9/2014,6/14/2014,BH-11710,Brosina Hoffman,Consumer,Vietnam,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,0.20000000000000001,90.7152
Standard Class,3,Ha Noi,CA-2014-115812,6/9/2014,6/14/2014,BH-11710,Brosina Hoffman,Consumer,Vietnam,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,0.20000000000000001,5.7825
Standard Class,5,Ha Noi,CA-2014-115812,6/9/2014,6/14/2014,BH-11710,Brosina Hoffman,Consumer,Vietnam,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,0,34.47
Standard Class,9,HN,CA-2014-115812,6/9/2014,6/14/2014,BH-11710,Brosina Hoffman,Consumer,Vietnam,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,0.20000000000000001,85.3092
Standard Class,4,Ha Noi,CA-2014-115812,6/9/2014,6/14/2014,BH-11710,Brosina Hoffman,Consumer,Vietnam,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,0.20000000000000001,68.3568
Standard Class,3,Yen Bai,CA-2017-114412,4/15/2017,4/20/2017,AA-10480,Andrew Allen,Consumer,Vietnam,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,0.20000000000000001,5.4432
Standard Class,3,Dong Nai,CA-2016-161389,12/5/2016,12/10/2016,IM-15070,Irene Maddox,Consumer,Vietnam,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,0.20000000000000001,132.5922
Standard Class,5,Ninh Thuan,US-2015-118983,11/22/2015,11/26/2015,HP-14815,Harold Pawlan,Home Office,Vietnam,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,0.80000000000000004,-123.858
Standard Class,3,Ninh Thuan,US-2015-118983,11/22/2015,11/26/2015,HP-14815,Harold Pawlan,Home Office,Vietnam,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,0.80000000000000004,-3.816
Second Class,2,Nghe An,CA-2014-143336,8/27/2014,9/1/2014,ZD-21925,Zuschuss Donatelli,Consumer,Vietnam,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,0,2.4824
Second Class,3,Nghe An,CA-2014-143336,8/27/2014,9/1/2014,ZD-21925,Zuschuss Donatelli,Consumer,Vietnam,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,0.20000000000000001,16.011
Second Class,4,Nghe An,CA-2014-143336,8/27/2014,9/1/2014,ZD-21925,Zuschuss Donatelli,Consumer,Vietnam,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,0.20000000000000001,7.384
Second Class,2,Thanh Hoa,US-2017-156909,7/16/2017,7/18/2017,SF-20065,Sandra Flanagan,Consumer,Vietnam,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,0.29999999999999999,-1.0196
Second Class,2,Ha Noi,CA-2016-121755,1/16/2016,1/20/2016,EH-13945,Eric Hoffmann,Consumer,Vietnam,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,0.20000000000000001,4.2224
Second Class,3,Ha Noi,CA-2016-121755,1/16/2016,1/20/2016,EH-13945,Eric Hoffmann,Consumer,Vietnam,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,0,11.7741
Standard Class,7,Thanh Hoa,US-2015-150630,9/17/2015,9/21/2015,TB-21520,Tracy Blumstein,Consumer,Vietnam,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,0.5,-1665.0522
Standard Class,2,Thanh Hoa,US-2015-150630,9/17/2015,9/21/2015,TB-21520,Tracy Blumstein,Consumer,Vietnam,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,0.69999999999999996,-7.0532
Standard Class,3,Thanh Hoa,US-2015-150630,9/17/2015,9/21/2015,TB-21520,Tracy Blumstein,Consumer,Vietnam,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,0.20000000000000001,15.525
Standard Class,2,Thanh Hoa,US-2015-150630,9/17/2015,9/21/2015,TB-21520,Tracy Blumstein,Consumer,Vietnam,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,0.20000000000000001,1.1016
Standard Class,6,Thanh Hoa,US-2015-150630,9/17/2015,9/21/2015,TB-21520,Tracy Blumstein,Consumer,Vietnam,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,0.20000000000000001,9.7092
Standard Class,6,Thanh Hoa,US-2015-150630,9/17/2015,9/21/2015,TB-21520,Tracy Blumstein,Consumer,Vietnam,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,0.69999999999999996,-5.715
